museum_name,museum_japanese,architect,architect_japanese,completion_year,architectural_style,region,prefecture,city,nearest_station,nearest_major_city,description,architectural_highlights,significance,accessibility_notes,primary_museum_experience_blurb,nearby_cultural_attraction_name,distance_from_main_attraction_deprecated,distance_from_main_attraction,nearby_cultural_attraction_blurb,museum_image_url,image_attribution,attraction_1_image_url,attraction_1_attribution,attraction_2_image_url,attraction_2_attribution
Tokyo National Museum Honkan,東京国立博物館本館,Jin Watanabe,渡邊仁,1938,Imperial Crown Style,Kanto,Tokyo,Tokyo,Ueno Station,Tokyo,Main building of Japan's oldest national museum combining Eastern and Western styles,Steel-frame construction with traditional Japanese roof elements imperial architecture,Important Cultural Property East-West architectural fusion,5-minute walk from JR Ueno Station,"The Japanese Gallery rotates selections from over 110,000 objects including national treasures, samurai armor, ukiyo-e prints, and ancient ceramics spanning from prehistoric Jomon pottery to Edo-period decorative arts.",Toshogu Shrine,5-min walk,5-min walk from main museum attraction,"An ornate Edo-period shrine dedicated to Tokugawa Ieyasu, featuring elaborate gold-leaf decorations, intricate carvings, and a peony garden that blooms spectacularly in spring and winter.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/tokyo-national-museum.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_National_Museum_Honkan_interior.jpg,"By Dick Thomas Johnson from Tokyo, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Toshogu_Shrine_Ueno_Park.jpg,"By Guilhem Vellut from Annecy, France - Toshogu Shrine @ Ueno Park, CC BY 2.1"
National Museum of Western Art,国立西洋美術館,Le Corbusier,ル・コルビュジエ,1959,Modernist Concrete,Kanto,Tokyo,Tokyo,Ueno Station,Tokyo,Le Corbusier's only building in East Asia UNESCO World Heritage Site,Pilotis concrete spiral ramp modular expansion system,UNESCO World Heritage architectural significance,10-minute walk from JR Ueno Station,"Japan's only national museum devoted exclusively to Western art housed in Le Corbusier's UNESCO World Heritage-listed modernist building featuring over 6,000 works from the revered Matsukata Collection with masterpieces spanning Medieval to mid-20th century including Monet's Water Lilies and Rodin's The Thinker alongside rotating special exhibitions and sculpture-filled forecourt in Ueno Park",Tokyo University of the Arts Museum,3-min walk,3-min walk from main museum attraction,"Japan's premier art university museum housing 30,000 works including 23 National Treasures and Important Cultural Properties featuring masterpieces by successive faculty and student graduation works from 1887 with rotating exhibitions and on-campus Geidai Art Plaza selling contemporary student artworks",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/National_Museum_of_Western_Art.jpg,"By Kakidai - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_National_Museum_of_Western_Art.jpg,"By Dick Thomas Johnson from Tokyo, Japan, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/University_Art_Museum_Tokyo_University_of_the_Arts.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
Tokyo Photographic Art Museum,東京都写真美術館,Yoshio Taniguchi,谷口吉生,1995,Glass Modernism,Kanto,Tokyo,Tokyo,Ebisu Station,Tokyo,Dedicated photography museum in Yebisu Garden Place complex,Transparent glass facade modular exhibition spaces natural light control,Leading photography museum architectural clarity,5-minute walk from JR Ebisu Station,"Three floors of galleries showcase rotating exhibitions of contemporary photography, experimental video art, and historical photographic collections from Japanese and international artists.",Yebisu Beer Museum,Same complex,Located in same complex,"This free museum chronicles the history of one of Japan's most beloved beers with vintage posters and brewing equipment, plus a tasting salon where visitors can sample regional brews.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo-Metropolitan-Museum-of-Photography.jpg,"By Rs1421 - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Ebisu_Tokyo_August_2014_55.jpg,"By User:Piotrus - Self-photographed, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Museum_of_Yebisu_Beer_view_201505.jpg,"By Wpcpey - Own work, CC BY-SA 4.0"
Nezu Museum,根津美術館,Kengo Kuma,隈研吾,2009,Contemporary Japanese,Kanto,Tokyo,Tokyo,Omotesando Station,Tokyo,Traditional art museum with contemporary bamboo screen facade,Bamboo louver facade traditional material reinterpretation garden integration,Kengo Kuma signature natural materials approach,8-minute walk from Tokyo Metro Omotesando Station,"Rotating displays from the 7,000-piece collection feature Japanese and Asian antiquities including seven national treasures, with special exhibitions highlighting tea ceremony arts, calligraphy, and Buddhist sculpture.",Nezu Shrine,25-min by train,25-min by train from main museum attraction,"A vermillion tunnel of over 100 torii gates leads through this historic shrine famous for its spectacular azalea garden, where 3,000 plants burst into bloom each May.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nezu-museum.jpg,"By Kentin - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nezu_Museum_Garten.jpg,"By Reinhold MÃ¶ller, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nezu_Shrine_2010.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
Suntory Museum of Art,サントリー美術館,Kengo Kuma,隈研吾,2007,Contemporary Japanese,Kanto,Tokyo,Tokyo,Roppongi Station,Tokyo,Japanese antique art museum in Tokyo Midtown with movable ceramic louvers,White ceramic kinetic vertical louvers sliding mechanism traditional lattice inspiration,Art in life concept urban integration,Direct connection from Tokyo Metro Roppongi Station,"Five to six themed exhibitions annually explore Japanese decorative arts and crafts, from Edo-period lacquerware and ceramics to contemporary textile designs, drawn from the museum's extensive lifestyle arts collection.",Hie Shrine,10-min walk,10-min walk from main museum attraction,"A sacred mountain shrine relocated to central Tokyo, featuring a dramatic escalator through vermillion torii gates and offering blessings for business success and safe childbirth.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo-Midtown-Suntory-Museum-of-Art.jpg,"By Rs1421 - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Suntory_Museum_of_Art_exhib.jpg,"By Wpcpey - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Hie-Shrine_Gate.jpg,"By MaedaAkihiko - Own work, CC BY-SA 4.0"
21_21 Design Sight,21_21デザインサイト,Tadao Ando,安藤忠雄,2007,Underground Concrete,Kanto,Tokyo,Tokyo,Roppongi Station,Tokyo,Design-focused museum mostly underground in Tokyo Midtown,Triangular concrete roof underground galleries natural light penetration,Design as art concept minimalist presentation,10-minute walk from Tokyo Metro Roppongi Station,"Founded by designer Issey Miyake, the museum presents experimental exhibitions exploring design's role in everyday life, with past shows examining everything from chocolate packaging to the future of mobility.",National Art Center Tokyo,5-min walk,5-min walk from main museum attraction,Japan's largest exhibition space features a striking undulating glass facade by Kisho Kurokawa and hosts world-class rotating exhibitions without maintaining a permanent collection.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/21_21_Design_Sight.jpg,"By Wei-Te Wong from Taipei City, Taiwan, Republic of China - 21_21 Design Sight, CC BY-SA 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Garden_Tokyo_Midtown_Roppongi.jpg,"By Guilhem Vellut from Annecy, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/National_Art_Center_Tokyo_2008.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
Sumida Hokusai Museum,すみだ北斎美術館,Kazuyo Sejima,妹島和世,2016,Metallic Contemporary,Kanto,Tokyo,Tokyo,Ryogoku Station,Tokyo,Museum dedicated to ukiyo-e master Hokusai with distinctive aluminum exterior,Mirrored aluminum panels distinctive silvery appearance angular geometry,SANAA architectural innovation ukiyo-e cultural heritage,5-minute walk from JR Ryogoku Station,"Permanent displays feature reproductions and original works by ukiyo-e master Katsushika Hokusai, with rotating exhibitions exploring his influence on both Japanese art and Western Impressionism.",Edo-Tokyo Museum,15-min by train,15-min by train from main museum attraction,"This architecturally dramatic museum recreates Edo-period streetscapes at full scale, offering hands-on experiences from riding in palanquins to examining samurai armor up close.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/sumida-hokusai.jpg,"By Kakidai - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Katsushika_Hokusai_(1760-1849).jpg,By Katsushika Hokusai - Public Domain,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Edo-Tokyo_Museum_ryogoku.jpg,"By Guilhem Vellut from Annecy, France - Edo-Tokyo Museum @ Ryogoku, CC BY 2.0"
Mori Art Museum,森美術館,Richard Gluckman,ãƒªãƒãƒ£ãƒ¼ãƒ‰ãƒ»ã‚°ãƒ©ãƒƒã‚¯ãƒžãƒ³,2003,High-rise Contemporary,Kanto,Tokyo,Tokyo,Roppongi Hills Station,Tokyo,Contemporary art museum on 52nd and 53rd floors of Mori Tower,Sky-high galleries panoramic city views integrated commercial complex,Vertical museum concept city observation,Direct connection from Tokyo Metro Roppongi Hills Station,"Large-scale contemporary art exhibitions showcase established and emerging artists from across Asia and beyond, with the triennial Roppongi Crossing series highlighting cutting-edge Japanese contemporary art.",Zojoji Temple,10-min walk,10-min walk from main museum attraction,"The Tokugawa family temple sits dramatically at Tokyo Tower's base, its vermillion main gate and historic cemetery offering serene contrast to the surrounding modern cityscape.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Mori_Art_Museum_Entrance.jpg,"By Wing1990hk - Own work, CC BY 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Capsule_from_Nakagin_Capsule_Tower_Building.jpg,"By Kestrel - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_zozo-ji_Main_Hall_and_Tokyo_Tower.jpg,"By Ymblanter - Own work, CC BY-SA 4.0"
Tokyo Station Gallery,東京ステーションギャラリー,Tatsuno Kingo,è¾°é‡Žé‡‘å¾,1914/2012,Brick Renaissance Revival,Kanto,Tokyo,Tokyo,Tokyo Station,Tokyo,Historic red brick station building housing contemporary gallery,Red brick facade Queen Anne style architectural restoration heritage preservation,Meiji period Western architecture Important Cultural Property,Inside JR Tokyo Station Marunouchi exit,"Housed within the station's original 1914 architecture, exhibitions focus on modern Japanese art with emphasis on works connected to railways, urban life, and the evolution of Tokyo itself.",Imperial Palace East Gardens,10-min walk,10-min walk from main museum attraction,"The former grounds of Edo Castle feature massive stone walls, historic keeps, and seasonal gardens where visitors can stroll freely through grounds once forbidden to commoners.",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Station_Gallery.jpg,"By Lover of Romance~commonswiki - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_station_gallery_entrance.jpg,"By Briefs4reskin - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/East_Gardens_of_the_Imperial_Palace.jpg,"By Photograph by D Ramey Logan, CC BY-SA 4.0"
The National Museum of Modern Art Tokyo,東京国立近代美術館,Yoshiro Taniguchi,è°·å£å‰éƒŽ,1969,Modernist,Kanto,Tokyo,Chiyoda,Takebashi Station,Tokyo,Japan's first national art museum featuring elevated horizontal volume with pilotis structure skip-floor interior design panoramic moat views,Thick columns supporting pilotis structure with undulating beams giving Japanese sensibility to concrete exterior minimal windows facing Imperial Palace elevated platform design top-floor observation lounge,First national art museum donated by industrialist Ishibashi Shojiro modernist architecture at interface between historic palace and modern Tokyo 2001-2002 major renovation,3-minute walk from Takebashi Station (Tozai Line) Exit 1b or 15 minutes from Kudanshita/Jimbocho Stations,The MOMAT Collection rotates 200 works from over 13000 modern and contemporary Japanese artworks including National Important Cultural Properties by Yokoyama Taikan and Kishida Ryusei spanning late 19th century to present across 12 themed galleries.,Kitanomaru Park,Adjacent,Adjacent from main museum attraction,Kitanomaru Park and the Imperial Palace East Gardens offer spectacular cherry blossoms in spring historic stone ramparts and Chidorigafuchi Moat with Tokyo Station's architecture within walking distance.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_National_Museum_of_Modern_Art_2nd.jpg,"By Syced - Own work, CC1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_National_Museum_of_Modern_Art.jpg,"By Dick Thomas Johnson from Tokyo, CC BY 2.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kitanomaru_Park_moat_blossom.jpg,"By Suicasmo - Own work, CC BY-SA 4.0"
