museum_name,museum_japanese,architect,architect_japanese,completion_year,architectural_style,region,prefecture,city,nearest_station,nearest_major_city,description,architectural_highlights,significance,accessibility_notes,primary_museum_experience_blurb,nearby_cultural_attraction_name,distance_from_main_attraction_deprecated,distance_from_main_attraction,nearby_cultural_attraction_blurb,museum_image_url,image_attribution,attraction_1_image_url,attraction_1_attribution,attraction_2_image_url,attraction_2_attribution
국립서양미술관,国立西洋美術館,르 코르뷔지에,ル・コルビュジエ,1959,Modernist Concrete,간토,도쿄,도쿄,우에노역,도쿄,국립서양미술관은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,우에노역에서 비교적 편리하게 접근할 수 있습니다.,"국립서양미술관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",도쿄예술대학 미술관,도보 3분,도보 3분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/National_Museum_of_Western_Art.jpg,"By Kakidai - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_National_Museum_of_Western_Art.jpg,"By Dick Thomas Johnson from Tokyo, Japan, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/University_Art_Museum_Tokyo_University_of_the_Arts.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
도쿄도 사진미술관,東京都写真美術館,다니구치 요시오,谷口吉生,1995,Glass Modernism,간토,도쿄,도쿄,에비스역,도쿄,도쿄도 사진미술관은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,에비스역에서 비교적 편리하게 접근할 수 있습니다.,"도쿄도 사진미술관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",예비스 맥주 박물관,같은 단지,Located in same complex,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo-Metropolitan-Museum-of-Photography.jpg,"By Rs1421 - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Ebisu_Tokyo_August_2014_55.jpg,"By User:Piotrus - Self-photographed, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Museum_of_Yebisu_Beer_view_201505.jpg,"By Wpcpey - Own work, CC BY-SA 4.0"
네즈 미술관,根津美術館,구마 켄고,隈研吾,2009,Contemporary Japanese,간토,도쿄,도쿄,오모테산도역,도쿄,네즈 미술관은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,오모테산도역에서 비교적 편리하게 접근할 수 있습니다.,"네즈 미술관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",네즈 신사,전철 25분,전철 25분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nezu-museum.jpg,"By Kentin - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nezu_Museum_Garten.jpg,"By Reinhold MÃ¶ller, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Nezu_Shrine_2010.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
Suntory Museum of Art,サントリー美術館,구마 켄고,隈研吾,2007,Contemporary Japanese,간토,도쿄,도쿄,롯폰기역,도쿄,Suntory Museum of Art은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,롯폰기역에서 비교적 편리하게 접근할 수 있습니다.,"Suntory Museum of Art에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Hie Shrine,도보 10분,도보 10분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo-Midtown-Suntory-Museum-of-Art.jpg,"By Rs1421 - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Suntory_Museum_of_Art_exhib.jpg,"By Wpcpey - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Hie-Shrine_Gate.jpg,"By MaedaAkihiko - Own work, CC BY-SA 4.0"
21_21 디자인 사이트,21_21デザインサイト,Tadao Ando,安藤忠雄,2007,Underground Concrete,간토,도쿄,도쿄,롯폰기역,도쿄,21_21 디자인 사이트은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,롯폰기역에서 비교적 편리하게 접근할 수 있습니다.,"21_21 디자인 사이트에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",National Art Center Tokyo,도보 5분,도보 5분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/21_21_Design_Sight.jpg,"By Wei-Te Wong , CC BY-SA 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Garden_Tokyo_Midtown_Roppongi.jpg,"By Guilhem Vellut from Annecy, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/National_Art_Center_Tokyo_2008.jpg,"By Wiiii - Own work, CC BY-SA 3.0"
Sumida Hokusai Museum,すみだ北斎美術館,Kazuyo Sejima,妹島和世,2016,Metallic Contemporary,간토,도쿄,도쿄,료고쿠역,도쿄,Sumida Hokusai Museum은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,료고쿠역에서 비교적 편리하게 접근할 수 있습니다.,"Sumida Hokusai Museum에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Edo-Tokyo Museum,전철 15분,전철 15분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/sumida-hokusai.jpg,"By Kakidai - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Katsushika_Hokusai_(1760-1849).jpg,By Katsushika Hokusai - Public Domain,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Edo-Tokyo_Museum_ryogoku.jpg,"By Guilhem Vellut from Annecy, France - Edo-Tokyo Museum @ Ryogoku, CC BY 2.0"
모리미술관,森美術館,Richard Gluckman,ãƒªãƒãƒ£ãƒ¼ãƒ‰ãƒ»ã‚°ãƒ©ãƒƒã‚¯ãƒžãƒ³,2003,High-rise Contemporary,간토,도쿄,도쿄,Roppongi Hills Station,도쿄,모리미술관은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,Roppongi Hills Station에서 비교적 편리하게 접근할 수 있습니다.,"모리미술관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Zojoji Temple,도보 10분,도보 10분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Mori_Art_Museum_Entrance.jpg,"By Wing1990hk - Own work, CC BY 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Capsule_from_Nakagin_Capsule_Tower_Building.jpg,"By Kestrel - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_zozo-ji_Main_Hall_and_Tokyo_Tower.jpg,"By Ymblanter - Own work, CC BY-SA 4.0"
Tokyo Station Gallery,東京ステーションギャラリー,Tatsuno Kingo,è¾°é‡Žé‡‘å¾,1914/2012,Brick Renaissance Revival,간토,도쿄,도쿄,Tokyo Station,도쿄,Tokyo Station Gallery은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,Tokyo Station에서 비교적 편리하게 접근할 수 있습니다.,"Tokyo Station Gallery에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Imperial Palace East Gardens,도보 10분,도보 10분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Station_Gallery.jpg,"By Lover of Romance - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_station_gallery_entrance.jpg,"By Briefs4reskin - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/East_Gardens_of_the_Imperial_Palace.jpg,"By Photograph by D Ramey Logan, CC BY-SA 4.0"
The National Museum of Modern Art Tokyo,東京国立近代美術館,Yoshiro Taniguchi,è°·å£å‰éƒŽ,1969,Modernist,간토,도쿄,Chiyoda,Takebashi Station,도쿄,The National Museum of Modern Art Tokyo은/는 도쿄 Chiyoda에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,Takebashi Station에서 비교적 편리하게 접근할 수 있습니다.,"The National Museum of Modern Art Tokyo에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Kitanomaru Park,인접,인접,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_National_Museum_of_Modern_Art_2nd.jpg,"By Syced - Own work, CC1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/The_National_Museum_of_Modern_Art.jpg,"By Dick Thomas Johnson, CC BY 2.1",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kitanomaru_Park_moat_blossom.jpg,"By Suicasmo - Own work, CC BY-SA 4.0"
도쿄도미술관,東京都美術館,마에카와 구니오,前川國男,1975,Modernist,간토,도쿄,Taito,우에노역,도쿄,도쿄도미술관은/는 도쿄 Taito에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,우에노역에서 비교적 편리하게 접근할 수 있습니다.,"도쿄도미술관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Shinobazu Pond,도보 5분,도보 5분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Metropolitan_Art_Museum_front.jpg,,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_metropolitan_art_museum_1920.jpg,"By 663highland - Own work, CC BY 2.5",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/shinozabu_pond_walkway.jpg,"By Simo RÃ¤sÃ¤nen, CC BY-SA 4.0"
도쿄도 정원미술관,東京都庭園美術館,Yokichi Gondo,æ¨©è—¤è¦å‰,1933,Art Deco,간토,도쿄,Minato,Meguro Station,도쿄,도쿄도 정원미술관은/는 도쿄 Minato에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,Meguro Station에서 비교적 편리하게 접근할 수 있습니다.,"도쿄도 정원미술관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Hatakeyama Memorial Museum of Fine Art,도보 10분,도보 10분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Metropolitan_Teien_Art_Museum.jpg,"By Kestrel - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_Metropolitan_Teien_Art_Museum_prince_asaka_former_res.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hatakeyama_Memorial_Museum_of_Fine_Art.jpg,"By Daderot - Own work, CC0"
도쿄국립박물관 본관,東京国立博物館本館,Jin Watanabe,渡邊仁,1938,Imperial Crown Style,간토,도쿄,도쿄,우에노역,도쿄,도쿄국립박물관 본관은/는 도쿄 도쿄에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,우에노역에서 비교적 편리하게 접근할 수 있습니다.,"도쿄국립박물관 본관에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Toshogu Shrine,도보 5분,도보 5분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/tokyo-national-museum.jpg,"By Wiiii - Own work, CC BY-SA 3.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Tokyo_National_Museum_Honkan_interior.jpg,"By Dick Thomas Johnson from Tokyo, CC BY 2.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Toshogu_Shrine_Ueno_Park.jpg,"By Guilhem Vellut from Annecy, France - Toshogu Shrine @ Ueno Park, CC BY 2.1"
Hakone Open-Air Museum,彫刻の森美術館,다양한 건축가 참여,Various,1969,Sculpture Park Modern,Chubu,가나가와,Hakone,Chokoku-no-mori Station,Odawara,Hakone Open-Air Museum은/는 가나가와 Hakone에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,Chokoku-no-mori Station에서 비교적 편리하게 접근할 수 있습니다.,"Hakone Open-Air Museum에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Hakone Shrine,버스로 20분,버스로 20분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hakone_Open-air_Museum_Japan.jpg,"By 663highland - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hakone_Open-air_Museum_structure.jpg,"By Suicasmo - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Hakone_Shrine_path.jpg,"By Guilhem Vellut, CC BY 2.0"
브리티시 앤티크 뮤지엄 가마쿠라,ブリティッシュアンティークミュージアム,구마 켄고,隈研吾,2022,Traditional Contemporary,간토,가나가와,가마쿠라,Kamakura Station,가마쿠라,브리티시 앤티크 뮤지엄 가마쿠라은/는 가나가와 가마쿠라에 위치한 일본의 문화 시설입니다.,개성적인 건축 디자인과 전시 공간 구성이 특징인 장소입니다.,지역의 역사와 예술·문화를 소개하는 중요한 문화 시설로 평가됩니다.,Kamakura Station에서 비교적 편리하게 접근할 수 있습니다.,"브리티시 앤티크 뮤지엄 가마쿠라에서는 상설전과 기획전을 통해 다양한 작품과 전시를 감상할 수 있으며, 건축과 주변 환경이 어우러진 관람 경험을 제공합니다.",Kamakura National Treasure Museum,도보 15분,도보 15분,주변에는 함께 방문하기 좋은 다른 문화·관광 명소도 있어 하루 코스로 여유롭게 둘러보기 좋습니다.,https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/BAM.jpg,"By Santa365 - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/4th_Floor_brit_museum.jpg,"By Santa365 - Own work, CC BY-SA 4.0",https://raw.githubusercontent.com/jamespnz/museum-meditations-japan/main/images/Kamakura_Museum_of_National_Treasures.jpg,"By Urashimataro - Own work, Public Domain"
